EmployeeID,Year,Month,AccruedLeaveHours,TakenLeaveHours,MonthlyLeaveBalance
HGY20240006,2024,7,8.67,0.0,8.67
HGY20240006,2024,8,8.67,4.0,4.67
HGY20240006,2024,9,8.67,0.0,8.67
HGY20240006,2024,10,8.67,4.0,4.67
HGY20240006,2024,11,8.67,4.0,4.67
HGY20240006,2024,12,8.67,8.0,0.6699999999999999
HGY20240006,2025,1,8.67,4.0,4.67
HGY20240006,2025,2,8.67,8.0,0.6699999999999999
HGY20240006,2025,3,8.67,0.0,8.67
HGY20240006,2025,4,8.67,8.0,0.6699999999999999
HGY20240006,2025,5,8.67,4.0,4.67
HGY20240006,2025,6,8.67,4.0,4.67
HGY20240006,2025,7,8.67,12.0,-3.33
HGY20240006,2025,8,8.67,0.0,8.67
HGY20240006,2025,9,8.67,4.0,4.67
HGY20240006,2025,10,8.67,4.0,4.67
HGY20240006,2025,11,8.67,8.0,0.6699999999999999
HGY20240006,2025,12,8.67,8.0,0.6699999999999999
HGY20240007,2024,1,13.0,0.0,13.0
HGY20240007,2024,2,13.0,12.0,1.0
HGY20240007,2024,3,13.0,6.0,7.0
HGY20240007,2024,4,13.0,0.0,13.0
HGY20240007,2024,5,13.0,6.0,7.0
HGY20240007,2024,6,13.0,12.0,1.0
HGY20240007,2024,7,13.0,6.0,7.0
HGY20240007,2024,8,13.0,6.0,7.0
HGY20240007,2024,9,13.0,18.0,-5.0
HGY20240007,2024,10,13.0,12.0,1.0
HGY20240007,2024,11,13.0,0.0,13.0
HGY20240007,2024,12,13.0,18.0,-5.0
HGY20240007,2025,1,13.0,12.0,1.0
HGY20240007,2025,2,13.0,18.0,-5.0
HGY20240007,2025,3,13.0,6.0,7.0
HGY20240007,2025,4,13.0,0.0,13.0
HGY20240007,2025,5,13.0,6.0,7.0
HGY20240007,2025,6,13.0,0.0,13.0
HGY20240007,2025,7,13.0,18.0,-5.0
HGY20240007,2025,8,13.0,6.0,7.0
HGY20240007,2025,9,13.0,6.0,7.0
HGY20240007,2025,10,13.0,12.0,1.0
HGY20240007,2025,11,13.0,12.0,1.0
HGY20240007,2025,12,13.0,6.0,7.0
HGY20240008,2024,1,17.33,16.0,1.3299999999999983
HGY20240008,2024,2,17.33,8.0,9.329999999999998
HGY20240008,2024,3,17.33,16.0,1.3299999999999983
HGY20240008,2024,4,17.33,16.0,1.3299999999999983
HGY20240008,2024,5,17.33,24.0,-6.670000000000002
HGY20240008,2024,6,17.33,8.0,9.329999999999998
HGY20240008,2024,7,17.33,16.0,1.3299999999999983
HGY20240008,2024,8,17.33,0.0,17.33
HGY20240008,2024,9,17.33,0.0,17.33
HGY20240008,2024,10,17.33,8.0,9.329999999999998
HGY20240008,2024,11,17.33,0.0,17.33
HGY20240008,2024,12,17.33,16.0,1.3299999999999983
HGY20240008,2025,1,17.33,16.0,1.3299999999999983
HGY20240008,2025,2,17.33,8.0,9.329999999999998
HGY20240008,2025,3,17.33,16.0,1.3299999999999983
HGY20240008,2025,4,17.33,0.0,17.33
HGY20240008,2025,5,17.33,16.0,1.3299999999999983
HGY20240008,2025,6,17.33,8.0,9.329999999999998
HGY20240008,2025,7,17.33,8.0,9.329999999999998
HGY20240008,2025,8,17.33,0.0,17.33
HGY20240008,2025,9,17.33,0.0,17.33
HGY20240008,2025,10,17.33,16.0,1.3299999999999983
HGY20240008,2025,11,17.33,16.0,1.3299999999999983
HGY20240008,2025,12,17.33,8.0,9.329999999999998
HGY20240009,2024,1,17.33,8.0,9.329999999999998
HGY20240009,2024,2,17.33,8.0,9.329999999999998
HGY20240009,2024,3,17.33,8.0,9.329999999999998
HGY20240009,2024,4,17.33,8.0,9.329999999999998
HGY20240009,2024,5,17.33,0.0,17.33
HGY20240009,2024,6,17.33,8.0,9.329999999999998
HGY20240009,2024,7,17.33,8.0,9.329999999999998
HGY20240009,2024,8,17.33,0.0,17.33
HGY20240009,2024,9,17.33,8.0,9.329999999999998
HGY20240009,2024,10,17.33,0.0,17.33
HGY20240009,2024,11,17.33,8.0,9.329999999999998
HGY20240009,2024,12,17.33,8.0,9.329999999999998
HGY20240009,2025,1,17.33,16.0,1.3299999999999983
HGY20240009,2025,2,17.33,16.0,1.3299999999999983
HGY20240009,2025,3,17.33,8.0,9.329999999999998
HGY20240009,2025,4,17.33,16.0,1.3299999999999983
HGY20240009,2025,5,17.33,0.0,17.33
HGY20240009,2025,6,17.33,8.0,9.329999999999998
HGY20240009,2025,7,17.33,0.0,17.33
HGY20240009,2025,8,17.33,24.0,-6.670000000000002
HGY20240009,2025,9,17.33,24.0,-6.670000000000002
HGY20240009,2025,10,17.33,16.0,1.3299999999999983
HGY20240009,2025,11,17.33,24.0,-6.670000000000002
HGY20240009,2025,12,17.33,0.0,17.33
HGY20240010,2024,1,17.33,16.0,1.3299999999999983
HGY20240010,2024,2,17.33,8.0,9.329999999999998
HGY20240010,2024,3,17.33,8.0,9.329999999999998
HGY20240010,2024,4,17.33,24.0,-6.670000000000002
HGY20240010,2024,5,17.33,0.0,17.33
HGY20240010,2024,6,17.33,0.0,17.33
HGY20240010,2024,7,17.33,24.0,-6.670000000000002
HGY20240010,2024,8,17.33,16.0,1.3299999999999983
HGY20240010,2024,9,17.33,0.0,17.33
HGY20240010,2024,10,17.33,24.0,-6.670000000000002
HGY20240010,2024,11,17.33,24.0,-6.670000000000002
HGY20240010,2024,12,17.33,16.0,1.3299999999999983
HGY20240010,2025,1,17.33,8.0,9.329999999999998
HGY20240010,2025,2,17.33,16.0,1.3299999999999983
HGY20240010,2025,3,17.33,24.0,-6.670000000000002
HGY20240010,2025,4,17.33,0.0,17.33
HGY20240010,2025,5,17.33,24.0,-6.670000000000002
HGY20240010,2025,6,17.33,0.0,17.33
HGY20240010,2025,7,17.33,16.0,1.3299999999999983
HGY20240010,2025,8,17.33,0.0,17.33
HGY20240010,2025,9,17.33,16.0,1.3299999999999983
HGY20240010,2025,10,17.33,0.0,17.33
HGY20240010,2025,11,17.33,24.0,-6.670000000000002
HGY20240010,2025,12,17.33,8.0,9.329999999999998
HGY20240011,2024,1,13.0,6.0,7.0
HGY20240011,2024,2,13.0,18.0,-5.0
HGY20240011,2024,3,13.0,0.0,13.0
HGY20240011,2024,4,13.0,12.0,1.0
HGY20240011,2024,5,13.0,0.0,13.0
HGY20240011,2024,6,13.0,6.0,7.0
HGY20240011,2024,7,13.0,0.0,13.0
HGY20240011,2024,8,13.0,0.0,13.0
HGY20240011,2024,9,13.0,0.0,13.0
HGY20240011,2024,10,13.0,6.0,7.0
HGY20240011,2024,11,13.0,12.0,1.0
HGY20240011,2024,12,13.0,6.0,7.0
HGY20240016,2025,7,8.67,0.0,8.67
HGY20240016,2025,8,8.67,4.0,4.67
HGY20240016,2025,9,8.67,4.0,4.67
HGY20240016,2025,10,8.67,4.0,4.67
HGY20240016,2025,11,8.67,0.0,8.67
HGY20240016,2025,12,8.67,4.0,4.67
HGY20240017,2024,1,17.33,8.0,9.329999999999998
HGY20240017,2024,2,17.33,8.0,9.329999999999998
HGY20240017,2024,3,17.33,8.0,9.329999999999998
HGY20240017,2024,4,17.33,16.0,1.3299999999999983
HGY20240017,2024,5,17.33,8.0,9.329999999999998
HGY20240017,2024,6,17.33,16.0,1.3299999999999983
HGY20240017,2024,7,17.33,0.0,17.33
HGY20240017,2024,8,17.33,24.0,-6.670000000000002
HGY20240017,2024,9,17.33,16.0,1.3299999999999983
HGY20240017,2024,10,17.33,0.0,17.33
HGY20240017,2024,11,17.33,8.0,9.329999999999998
HGY20240017,2024,12,17.33,16.0,1.3299999999999983
HGY20240017,2025,1,17.33,8.0,9.329999999999998
HGY20240017,2025,2,17.33,8.0,9.329999999999998
HGY20240017,2025,3,17.33,16.0,1.3299999999999983
HGY20240017,2025,4,17.33,8.0,9.329999999999998
HGY20240017,2025,5,17.33,0.0,17.33
HGY20240017,2025,6,17.33,24.0,-6.670000000000002
HGY20240017,2025,7,17.33,0.0,17.33
HGY20240017,2025,8,17.33,24.0,-6.670000000000002
HGY20240017,2025,9,17.33,32.0,-14.670000000000002
HGY20240017,2025,10,17.33,16.0,1.3299999999999983
HGY20240017,2025,11,17.33,8.0,9.329999999999998
HGY20240017,2025,12,17.33,16.0,1.3299999999999983
HGY20240018,2024,1,13.0,12.0,1.0
HGY20240018,2024,2,13.0,0.0,13.0
HGY20240018,2024,3,13.0,6.0,7.0
HGY20240018,2024,4,13.0,6.0,7.0
HGY20240018,2024,5,13.0,0.0,13.0
HGY20240018,2024,6,13.0,6.0,7.0
HGY20240018,2024,7,13.0,6.0,7.0
HGY20240018,2024,8,13.0,12.0,1.0
HGY20240018,2024,9,13.0,12.0,1.0
HGY20240018,2024,10,13.0,0.0,13.0
HGY20240018,2024,11,13.0,0.0,13.0
HGY20240018,2024,12,13.0,12.0,1.0
HGY20240018,2025,1,13.0,12.0,1.0
HGY20240018,2025,2,13.0,6.0,7.0
HGY20240018,2025,3,13.0,6.0,7.0
HGY20240018,2025,4,13.0,6.0,7.0
HGY20240018,2025,5,13.0,12.0,1.0
HGY20240018,2025,6,13.0,6.0,7.0
HGY20240018,2025,7,13.0,0.0,13.0
HGY20240018,2025,8,13.0,0.0,13.0
HGY20240018,2025,9,13.0,18.0,-5.0
HGY20240018,2025,10,13.0,0.0,13.0
HGY20240018,2025,11,13.0,6.0,7.0
HGY20240018,2025,12,13.0,0.0,13.0
HGY20240019,2024,1,17.33,8.0,9.329999999999998
HGY20240019,2024,2,17.33,8.0,9.329999999999998
HGY20240019,2024,3,17.33,8.0,9.329999999999998
HGY20240019,2024,4,17.33,0.0,17.33
HGY20240019,2024,5,17.33,24.0,-6.670000000000002
HGY20240019,2024,6,17.33,24.0,-6.670000000000002
HGY20240019,2024,7,17.33,0.0,17.33
HGY20240019,2024,8,17.33,16.0,1.3299999999999983
HGY20240019,2024,9,17.33,16.0,1.3299999999999983
HGY20240019,2024,10,17.33,8.0,9.329999999999998
HGY20240019,2024,11,17.33,0.0,17.33
HGY20240019,2024,12,17.33,8.0,9.329999999999998
HGY20240019,2025,1,17.33,0.0,17.33
HGY20240019,2025,2,17.33,24.0,-6.670000000000002
HGY20240019,2025,3,17.33,24.0,-6.670000000000002
HGY20240019,2025,4,17.33,8.0,9.329999999999998
HGY20240019,2025,5,17.33,0.0,17.33
HGY20240019,2025,6,17.33,0.0,17.33
HGY20240019,2025,7,17.33,16.0,1.3299999999999983
HGY20240019,2025,8,17.33,0.0,17.33
HGY20240019,2025,9,17.33,24.0,-6.670000000000002
HGY20240019,2025,10,17.33,16.0,1.3299999999999983
HGY20240019,2025,11,17.33,0.0,17.33
HGY20240019,2025,12,17.33,8.0,9.329999999999998
HGY20240020,2024,1,17.33,8.0,9.329999999999998
HGY20240020,2024,2,17.33,0.0,17.33
HGY20240020,2024,3,17.33,16.0,1.3299999999999983
HGY20240020,2024,4,17.33,8.0,9.329999999999998
HGY20240020,2024,5,17.33,8.0,9.329999999999998
HGY20240020,2024,6,17.33,8.0,9.329999999999998
HGY20240020,2024,7,17.33,8.0,9.329999999999998
HGY20240020,2024,8,17.33,16.0,1.3299999999999983
HGY20240020,2024,9,17.33,24.0,-6.670000000000002
HGY20240020,2024,10,17.33,8.0,9.329999999999998
HGY20240020,2024,11,17.33,8.0,9.329999999999998
HGY20240020,2024,12,17.33,0.0,17.33
HGY20240020,2025,1,17.33,8.0,9.329999999999998
HGY20240020,2025,2,17.33,8.0,9.329999999999998
HGY20240020,2025,3,17.33,8.0,9.329999999999998
HGY20240020,2025,4,17.33,8.0,9.329999999999998
HGY20240020,2025,5,17.33,8.0,9.329999999999998
