EmployeeID,Year,Month,CostCenterID,JobGradeID,CostItemID,CostItem,BudgetCost
HGY20240001,2025,2,CC009,Q007,1,Retribuzione Diretta,1950.0
HGY20240001,2025,2,CC009,Q007,2,Retribuzione Indiretta,300.0
HGY20240001,2025,2,CC009,Q007,3,Premi e Incentivi,150.0
HGY20240001,2025,2,CC009,Q007,4,Oneri Previdenziali,360.0
HGY20240001,2025,2,CC009,Q007,5,Quota TFR,150.0
HGY20240001,2025,2,CC009,Q007,6,Welfare & Benefit,60.0
HGY20240001,2025,2,CC009,Q007,7,Formazione & Sviluppo,30.0
HGY20240001,2025,3,CC009,Q007,1,Retribuzione Diretta,2047.5
HGY20240001,2025,3,CC009,Q007,2,Retribuzione Indiretta,315.0
HGY20240001,2025,3,CC009,Q007,3,Premi e Incentivi,157.5
HGY20240001,2025,3,CC009,Q007,4,Oneri Previdenziali,378.0
HGY20240001,2025,3,CC009,Q007,5,Quota TFR,157.5
HGY20240001,2025,3,CC009,Q007,6,Welfare & Benefit,63.0
HGY20240001,2025,3,CC009,Q007,7,Formazione & Sviluppo,31.5
HGY20240001,2025,4,CC009,Q007,1,Retribuzione Diretta,1950.0
HGY20240001,2025,4,CC009,Q007,2,Retribuzione Indiretta,300.0
HGY20240001,2025,4,CC009,Q007,3,Premi e Incentivi,150.0
HGY20240001,2025,4,CC009,Q007,4,Oneri Previdenziali,360.0
HGY20240001,2025,4,CC009,Q007,5,Quota TFR,150.0
HGY20240001,2025,4,CC009,Q007,6,Welfare & Benefit,60.0
HGY20240001,2025,4,CC009,Q007,7,Formazione & Sviluppo,30.0
HGY20240001,2025,5,CC009,Q007,1,Retribuzione Diretta,2047.5
HGY20240001,2025,5,CC009,Q007,2,Retribuzione Indiretta,315.0
HGY20240001,2025,5,CC009,Q007,3,Premi e Incentivi,157.5
HGY20240001,2025,5,CC009,Q007,4,Oneri Previdenziali,378.0
HGY20240001,2025,5,CC009,Q007,5,Quota TFR,157.5
HGY20240001,2025,5,CC009,Q007,6,Welfare & Benefit,63.0
HGY20240001,2025,5,CC009,Q007,7,Formazione & Sviluppo,31.5
HGY20240001,2025,6,CC009,Q007,1,Retribuzione Diretta,1950.0
HGY20240001,2025,6,CC009,Q007,2,Retribuzione Indiretta,300.0
HGY20240001,2025,6,CC009,Q007,3,Premi e Incentivi,150.0
HGY20240001,2025,6,CC009,Q007,4,Oneri Previdenziali,360.0
HGY20240001,2025,6,CC009,Q007,5,Quota TFR,150.0
HGY20240001,2025,6,CC009,Q007,6,Welfare & Benefit,60.0
HGY20240001,2025,6,CC009,Q007,7,Formazione & Sviluppo,30.0
HGY20240001,2025,7,CC009,Q007,1,Retribuzione Diretta,2242.5
HGY20240001,2025,7,CC009,Q007,2,Retribuzione Indiretta,345.0
HGY20240001,2025,7,CC009,Q007,3,Premi e Incentivi,172.5
HGY20240001,2025,7,CC009,Q007,4,Oneri Previdenziali,414.0
HGY20240001,2025,7,CC009,Q007,5,Quota TFR,172.5
HGY20240001,2025,7,CC009,Q007,6,Welfare & Benefit,69.0
HGY20240001,2025,7,CC009,Q007,7,Formazione & Sviluppo,34.5
HGY20240001,2025,8,CC009,Q007,1,Retribuzione Diretta,1950.0
HGY20240001,2025,8,CC009,Q007,2,Retribuzione Indiretta,300.0
HGY20240001,2025,8,CC009,Q007,3,Premi e Incentivi,150.0
HGY20240001,2025,8,CC009,Q007,4,Oneri Previdenziali,360.0
HGY20240001,2025,8,CC009,Q007,5,Quota TFR,150.0
HGY20240001,2025,8,CC009,Q007,6,Welfare & Benefit,60.0
HGY20240001,2025,8,CC009,Q007,7,Formazione & Sviluppo,30.0
HGY20240001,2025,9,CC009,Q007,1,Retribuzione Diretta,2145.0
HGY20240001,2025,9,CC009,Q007,2,Retribuzione Indiretta,330.0
HGY20240001,2025,9,CC009,Q007,3,Premi e Incentivi,165.0
HGY20240001,2025,9,CC009,Q007,4,Oneri Previdenziali,396.0
HGY20240001,2025,9,CC009,Q007,5,Quota TFR,165.0
HGY20240001,2025,9,CC009,Q007,6,Welfare & Benefit,66.0
HGY20240001,2025,9,CC009,Q007,7,Formazione & Sviluppo,33.0
HGY20240001,2025,10,CC009,Q007,1,Retribuzione Diretta,2242.5
HGY20240001,2025,10,CC009,Q007,2,Retribuzione Indiretta,345.0
HGY20240001,2025,10,CC009,Q007,3,Premi e Incentivi,172.5
HGY20240001,2025,10,CC009,Q007,4,Oneri Previdenziali,414.0
