SatisfactionKey,OrderNumber,OrderDateKey,SurveyDateKey,SatisfactionScore,Comments
1,ORD00000001,20230101,20230106,4,
2,ORD00000002,20230101,20230103,5,
3,ORD00000003,20230101,20230108,5,
4,ORD00000004,20230101,20230105,4,
5,ORD00000005,20230101,20230106,3,
6,ORD00000006,20230101,20230107,3,
7,ORD00000007,20230101,20230104,2,Follow-up required
8,ORD00000008,20230101,20230105,5,
9,ORD00000009,20230101,20230105,4,
10,ORD00000010,20230101,20230107,5,
11,ORD00000011,20230101,20230108,1,Follow-up required
12,ORD00000012,20230101,20230105,5,
13,ORD00000013,20230101,20230104,5,
14,ORD00000014,20230101,20230108,3,
15,ORD00000015,20230101,20230106,3,
16,ORD00000016,20230101,20230106,3,
17,ORD00000017,20230101,20230105,3,
18,ORD00000018,20230101,20230103,4,
19,ORD00000019,20230101,20230103,4,
20,ORD00000020,20230101,20230107,3,
21,ORD00000021,20230101,20230105,4,
22,ORD00000022,20230101,20230103,2,Follow-up required
23,ORD00000023,20230101,20230104,3,
24,ORD00000024,20230101,20230108,4,
25,ORD00000025,20230101,20230106,4,
26,ORD00000026,20230101,20230104,5,
27,ORD00000027,20230101,20230105,3,
28,ORD00000028,20230101,20230103,4,
29,ORD00000029,20230101,20230105,4,
30,ORD00000030,20230101,20230104,1,Follow-up required
31,ORD00000031,20230101,20230106,4,
32,ORD00000032,20230101,20230108,3,
33,ORD00000033,20230101,20230102,2,Follow-up required
34,ORD00000034,20230101,20230105,5,
35,ORD00000035,20230101,20230105,5,
36,ORD00000036,20230101,20230105,5,
37,ORD00000037,20230101,20230105,3,
38,ORD00000038,20230101,20230106,2,Follow-up required
39,ORD00000039,20230101,20230108,4,
40,ORD00000040,20230101,20230106,4,
41,ORD00000041,20230101,20230104,2,Follow-up required
42,ORD00000042,20230101,20230102,4,
43,ORD00000043,20230101,20230105,1,Follow-up required
44,ORD00000044,20230101,20230104,5,
45,ORD00000045,20230101,20230106,3,
46,ORD00000046,20230101,20230103,4,
47,ORD00000047,20230101,20230107,3,
48,ORD00000048,20230101,20230108,4,
49,ORD00000049,20230101,20230106,4,
50,ORD00000050,20230101,20230106,3,
51,ORD00000051,20230101,20230103,5,
52,ORD00000052,20230101,20230103,5,
53,ORD00000053,20230102,20230105,5,
54,ORD00000054,20230102,20230103,5,
55,ORD00000055,20230102,20230103,4,
56,ORD00000056,20230102,20230109,5,
57,ORD00000057,20230102,20230107,2,Follow-up required
58,ORD00000058,20230102,20230104,3,
59,ORD00000059,20230102,20230107,1,Follow-up required
60,ORD00000060,20230102,20230103,3,
61,ORD00000061,20230102,20230103,4,
62,ORD00000062,20230102,20230106,3,
63,ORD00000063,20230102,20230103,5,
64,ORD00000064,20230102,20230108,4,
65,ORD00000065,20230102,20230106,3,
66,ORD00000066,20230102,20230107,4,
67,ORD00000067,20230102,20230105,2,Follow-up required
68,ORD00000068,20230102,20230103,5,
69,ORD00000069,20230102,20230109,2,Follow-up required
70,ORD00000070,20230102,20230106,5,
71,ORD00000071,20230102,20230105,5,
72,ORD00000072,20230102,20230105,3,
